index,solo,grupo,fermo
0,12,0,0
1,11,1,0
2,10,2,0
3,9,3,0
4,8,4,0
5,7,5,0
6,6,6,0
7,5,7,0
8,4,8,0
9,3,9,0
10,2,10,0
11,1,11,0
12,0,12,0
13,11,0,1
14,10,1,1
15,9,2,1
16,8,3,1
17,7,4,1
18,6,5,1
19,5,6,1
20,4,7,1
21,3,8,1
22,2,9,1
23,1,10,1
24,0,11,1
25,10,0,2
26,9,1,2
27,8,2,2
28,7,3,2
29,6,4,2
30,5,5,2
31,4,6,2
32,3,7,2
33,2,8,2
34,1,9,2
35,0,10,2
36,9,0,3
37,8,1,3
38,7,2,3
39,6,3,3
40,5,4,3
41,4,5,3
42,3,6,3
43,2,7,3
44,1,8,3
45,0,9,3
46,8,0,4
47,7,1,4
48,6,2,4
49,5,3,4
50,4,4,4
51,3,5,4
52,2,6,4
53,1,7,4
54,0,8,4
55,7,0,5
56,6,1,5
57,5,2,5
58,4,3,5
59,3,4,5
60,2,5,5
61,1,6,5
62,0,7,5
63,6,0,6
64,5,1,6
65,4,2,6
66,3,3,6
67,2,4,6
68,1,5,6
69,0,6,6
70,5,0,7
71,4,1,7
72,3,2,7
73,2,3,7
74,1,4,7
75,0,5,7
76,4,0,8
77,3,1,8
78,2,2,8
79,1,3,8
80,0,4,8
81,3,0,9
82,2,1,9
83,1,2,9
84,0,3,9
85,2,0,10
86,1,1,10
87,0,2,10
88,1,0,11
89,0,1,11
90,0,0,12
